1	2045201421
2	1220911591
3	153709483
4	1323517163
5	1451071572
6	1494828198
7	868738912
8	1729539890
9	1853336516
1000010	1410016230
11	8828938
12	1492643926
13	1300511979
14	980542435
15	2023810573
16	335545319
17	531732954
18	2015245989
19	1309881598
1000020	1861452688
21	1691217659
22	1781212932
23	1791601183
24	2134183368
25	1805582803
26	756152503
27	1837186987
28	1947956449
29	1015182603
1000030	636825251
31	1935477795
32	2015354300
33	2128444759
34	943540289
35	1467652906
36	193692494
37	1398019046
38	437258272
39	578008223
